sku,cost
16012,823.74
16013,823.74
16015,823.74
16016,221.13
16017,221.13
16018,221.13
16019,221.13
16020,221.13
16021,29.27
16022,29.27
16023,29.27
16024,29.27
16026,29.27
16027,33.38
16028,33.38
16029,33.38
16030,33.38
16032,33.38
16033,33.94
16034,33.94
16035,33.94
16036,33.94
16038,33.94
16039,576.24
16040,576.24
16041,576.24
16042,576.24
16044,576.24
16045,435.90
16046,435.90
16047,435.90
16048,435.90
16050,435.90
16051,336.60
16052,336.60
16053,336.60
16054,336.60
16056,336.60
16057,78.91
16058,78.91
16059,78.91
16060,78.91
16062,78.91
16063,136.70
16064,136.70
16065,136.70
16066,136.70
16068,136.70
16069,43.66
16070,43.66
16071,43.66
16072,43.66
16074,43.66
16075,56.10
16076,56.10
16077,56.10
16078,56.10
16080,56.10
16081,70.50
16082,70.50
16083,70.50
16084,70.50
16086,70.50
16087,14.87
16088,14.87
16089,10.57
16090,32.73
16091,56.10
16092,32.73
16093,44.41
16096,32.73
16097,42.08
16098,45.82
16099,49.27
16100,58.16
16102,64.33
16103,64.33
16104,64.33
16105,64.33
16106,64.33
16112,70.12
16113,70.12
16114,70.12
16115,70.12
16116,70.12
16118,81.81
16119,81.81
16120,81.81
16121,81.81
16122,81.81
16123,274.14
16124,274.14
16125,274.14
16126,274.14
16127,274.14
16128,274.14
16129,274.14
16130,274.14
16131,274.14
16132,274.14
16133,274.24
16134,274.24
16135,274.24
16136,274.24
16137,274.24
16138,274.24
16139,274.24
16140,274.24
16141,274.24
16142,274.24
16144,220.94
16145,220.94
16146,220.94
16147,220.94
16148,220.94
16318,68.35
16320,75.17
16323,75.17
16324,68.35
16327,82.28
16329,90.04
16332,90.04
16333,82.28
16336,97.24
16338,105.75
16341,105.75
16342,97.24
16345,112.11
16347,121.18
16350,121.18
16351,112.11
16354,127.07
16356,136.32
16359,136.32
16360,127.07
17529/06,39.94
17530/06,28.53
17615,31.23
17616,55.54
17617,38.34
17618,62.65
17619,45.82
17620,70.12
17621,53.11
17622,77.42
17880,83.51
17911/06,22.25
17911/09,22.25
17942/16,61.72
17942/51,56.97
17943/51,45.08
17950/13,23.74
17952/51,33.67
18031/16,31.38
18048/51,33.10
18049/51,33.10
18051/16,79.89
18060/05,21.11
18060/06,18.26
18062/05,31.96
18063/05,23.97
18190/05,55.00
18193/05,50.22
18194/05,57.07
18203/05,45.65
18204/05,57.07
18207,9.97
18208,11.28
18240/14,47.48
18255/05,48.40
18549,6.89
18550,9.97
18562/06,31.96
18562/09,31.96
18599,35.62
18600,35.62
18601,48.53
18602,48.53
18603,79.76
18604,79.76
18605,154.37
18606,154.37
18627/05,40.36
18627/06,42.72
18627/14,58.16
18627/55,42.72
18628/13,55.78
18629/13,136.50
18675/06,105.25
18746/11,68.48
18747/11,97.01
18769/05,122.25
18769/06,117.55
18769/14,136.50
18782,16.62
18839/06,26.31
18991/06,132.70
19008,40.86
19009,40.86
19011,55.91
19012,55.91
19098,13.77
19100,97.71
19101,113.70
19102,117.53
19104,110.05
19105,125.94
19106,129.78
19107,3.66
19109,113.70
19110,117.53
19112,110.05
19113,125.94
19114,129.78
19116,77.79
19117,77.79
19119,53.95
19120,53.95
19122,90.13
19123,49.27
19128,61.24
19129,61.24
19130,61.24
19131,79.29
19132,79.29
19133,79.29
19134,55.35
19136,55.35
19137,55.35
19141,61.24
19142,79.29
19143,61.80
19144,55.35
19145,55.35
19146,55.35
19147,62.55
19148,62.55
19164/37,59.49
19239/05,30.81
19239/06,30.81
19242/05,53.64
19242/06,53.64
19245/05,63.91
19245/06,63.91
19283,41.18
19309/05,42.33
19324,20.38
19325,26.65
19326,40.11
19327,37.03
19340,43.66
19341,35.16
19342,41.70
19343,39.83
19370,85.83
19371,85.83
19372,85.83
19373,85.83
19374,85.83
19375,85.83
19376,103.13
19377,103.13
19378,103.13
19379,103.13
19380,103.13
19381,103.13
19420,154.37
19421,154.37
19422,154.37
19423,154.37
19424,23.19
19426,23.19
19428,34.88
19430,34.88
19432,34.88
19434,34.88
19436,34.88
19438,27.77
19440,27.77
19442,45.72
19444,45.72
19446,45.72
19448,45.72
19450,45.72
19458,100.61
19459,100.61
19485/06,53.77
19486,100.23
19487,100.23
19488,100.23
19489,100.23
19490,100.23
19491,100.23
19492,100.23
19493,100.23
19506,100.23
19507,100.23
19508,100.23
19509,100.23
19514,100.23
19515,100.23
19516,100.23
19517,100.23
19526,69.00
19527,69.00
19527/05,32.03
19528,69.00
19529,69.00
19529/05,52.62
19542,81.35
19543,81.35
19544,75.27
19545,75.27
19546,75.27
19547,75.27
19548,89.48
19549,89.48
19562,89.48
19563,89.48
19570,75.27
19571,75.27
19572,75.27
19573,75.27
19576,89.48
19577,89.48
19578,89.48
19579,89.48
19625/05,51.48
19630,109.86
19631,109.86
19632,109.86
19633,109.86
19634,109.86
19635,109.86
19636,109.86
19637,109.86
19638,109.86
19639,109.86
19640,109.86
19641,109.86
19644,142.96
19645,142.96
19646,142.96
19647,142.96
19648,142.96
19649,142.96
19650,180.17
19651,180.17
19652,180.17
19653,180.17
19654,180.17
19655,180.17
19675/51,45.65
19678,103.88
19679,103.88
19680,103.88
19681,103.88
19684,68.63
19685,68.63
19686,68.63
19687,68.63
19688,68.63
19689,68.63
19689/06,78.75
19692,57.32
19693,57.32
19693/51,54.45
19694,57.32
19695,57.32
19696,57.32
19696/05,33.10
19696/51,33.10
19697,57.32
19700,69.00
19701,69.00
19702,69.00
19703,69.00
19704,69.00
19705,69.00
19705/01,24.02
19706,69.00
19707,69.00
19708,69.00
19709,69.00
19710,69.00
19711,69.00
19712,81.35
19713,81.35
19714,81.35
19715,81.35
19716,81.35
19717,81.35
19720,80.13
19721,80.13
19722,97.33
19723,97.33
19724,103.13
19725,103.13
19727,81.35
19728,81.35
19729,81.35
19730,81.35
19731,81.35
19732,81.35
19733,81.35
