supplier	sku	cost_ex_gst	cost_inc_gst
Brilliant Lighting	22945/05	155.0000	170.5000
Brilliant Lighting	22947/05	165.0000	181.5000
Brilliant Lighting	22808/06	36.3100	39.9400
Brilliant Lighting	22808/05	36.3100	39.9400
Brilliant Lighting	22804/06	191.9400	211.1300
Brilliant Lighting	22804/05	191.9400	211.1300
Brilliant Lighting	22943/06	197.0000	216.7000
Brilliant Lighting	22943/05	197.0000	216.7000
Brilliant Lighting	20073/05	443.0600	487.3700
Brilliant Lighting	22197/06	188.3700	207.2100
Brilliant Lighting	22719/05	84.0400	92.4400
Brilliant Lighting	22720/05	94.4100	103.8500
Brilliant Lighting	22721/05	114.1300	125.5400
Brilliant Lighting	22949/05	114.1300	125.5400
Brilliant Lighting	22759/06	85.0000	93.5000
Brilliant Lighting	22759/05	85.0000	93.5000
Brilliant Lighting	22763/06	107.0000	117.7000
Brilliant Lighting	22763/05	107.0000	117.7000
Brilliant Lighting	22761/06	88.0000	96.8000
Brilliant Lighting	22761/05	88.0000	96.8000
Brilliant Lighting	22765/06	110.0000	121.0000
Brilliant Lighting	22765/05	110.0000	121.0000
Brilliant Lighting	99983/06	137.1700	150.8900
Brilliant Lighting	99983/13	137.1700	150.8900
Brilliant Lighting	99983/05	137.1700	150.8900
Brilliant Lighting	22237/06	32.3700	35.6100
Brilliant Lighting	22237/05	32.3700	35.6100
Brilliant Lighting	20580/13	193.0100	212.3100
Brilliant Lighting	20580/06	193.0100	212.3100
Brilliant Lighting	20580/05	193.0100	212.3100
Brilliant Lighting	20907/05	197.8600	217.6500
Brilliant Lighting	99988/06	149.3100	164.2400
Brilliant Lighting	99988/13	149.3100	164.2400
Brilliant Lighting	99988/05	149.3100	164.2400
Brilliant Lighting	22270/13	111.6800	122.8500
Brilliant Lighting	22270/06	111.6800	122.8500
Brilliant Lighting	22270/05	111.6800	122.8500
Brilliant Lighting	22273/06	118.9600	130.8600
Brilliant Lighting	22273/13	118.9600	130.8600
Brilliant Lighting	22273/05	118.9600	130.8600
Brilliant Lighting	22273/05R	150.5200	165.5700
Brilliant Lighting	22276/13	118.9600	130.8600
Brilliant Lighting	22276/06	118.9600	130.8600
Brilliant Lighting	22276/05	118.9600	130.8600
Brilliant Lighting	22279/06	123.8200	136.2000
Brilliant Lighting	22279/13	123.8200	136.2000
Brilliant Lighting	22279/05	123.8200	136.2000
Brilliant Lighting	22279/05R	161.4500	177.5900
Brilliant Lighting	22687/06	186.7500	205.4300
Brilliant Lighting	22687/05	186.7500	205.4300
Brilliant Lighting	22693/06	223.0600	245.3700
Brilliant Lighting	22693/05	223.0600	245.3700
Brilliant Lighting	22689/06	191.9400	211.1300
Brilliant Lighting	22689/05	191.9400	211.1300
Brilliant Lighting	22695/06	228.2500	251.0800
Brilliant Lighting	22695/05	228.2500	251.0800
Brilliant Lighting	22691/06	197.1300	216.8400
Brilliant Lighting	22691/05	197.1300	216.8400
Brilliant Lighting	22697/06	233.4400	256.7800
Brilliant Lighting	22697/05	233.4400	256.7800
Brilliant Lighting	21546/06	144.4500	158.9000
Brilliant Lighting	22291/06	166.3000	182.9300
Brilliant Lighting	21548/06	154.1600	169.5800
Brilliant Lighting	22293/06	177.2300	194.9500
Brilliant Lighting	22563/06	169.9400	186.9300
Brilliant Lighting	22565/06	196.6500	216.3200
Brilliant Lighting	22565/05	196.6500	216.3200
Brilliant Lighting	21546/05	144.4500	158.9000
Brilliant Lighting	22291/05	166.3000	182.9300
Brilliant Lighting	21548/05	154.1600	169.5800
Brilliant Lighting	22293/05	177.2300	194.9500
Brilliant Lighting	22563/05	169.9400	186.9300
Brilliant Lighting	18769/06	106.8600	117.5500
Brilliant Lighting	21657/06	65.5200	72.0700
Brilliant Lighting	21657/77	65.5200	72.0700
Brilliant Lighting	22201/06	41.6000	45.7600
Brilliant Lighting	22201/05	41.6000	45.7600
Brilliant Lighting	DC3SPEEDFAN	17.0000	18.7000
Brilliant Lighting	22323	43.1600	47.4800
Brilliant Lighting	22309/06	39.9200	43.9100
Brilliant Lighting	20108/16	43.1600	47.4800
