sku	name	price	cost
HV9761-IP20-840-RGBCW-30M	HV9761-IP20-840-RGBCW-30M - 20w IP20 24v DC COB RGBCW LED Strip 30M Roll	2009.7000	970.2000
HV9761-IP54-840-RGBCW	HV9761-IP54-840-RGBCW - 20w IP54 COB RGBCW LED Strip	77.0385	37.1910
HV9761-IP54-840-RGBCW-10M	HV9761-IP54-840-RGBCW-10M - 20w IP54 COB RGBCW LED Strip 10M roll	736.8900	355.7400
HV9761-IP67-840-RGBCW	HV9761-IP67-840-RGBCW - 20w IP67 COB RGBCW LED Strip	80.3880	38.8080
HV9761-IP67-840-RGBCW-10M	HV9761-IP67-840-RGBCW-10M - 20w IP67 COB RGBCW LED Strip 10M roll	770.3850	371.9100
HV9761-IP20-1152-3K	HV9761-IP20-1152-3K - 14w IP20 24v DC 3000K COB LED Strip	33.4950	16.1700
HV9761-IP20-1152-4K	HV9761-IP20-1152-4K - 14w IP20 24v DC 4000K COB LED Strip	33.4950	16.1700
HV9761-IP20-1152-3K-30M	HV9761-IP20-1152-3K-30M - 14w IP20 24v DC 3000K COB LED Strip 30M Roll	904.3650	436.5900
HV9761-IP20-1152-4K-30M	HV9761-IP20-1152-4K-30M - 14w IP20 24v DC 4000K COB LED Strip 30M Roll	904.3650	436.5900
HV9761-IP20-1280-3K	HV9761-IP20-1280-3K - 15w IP20 24v DC COB 3000K LED Strip	43.5435	21.0210
HV9761-IP20-1280-4K	HV9761-IP20-1280-4K - 15w IP20 24v DC COB 4000K LED Strip	43.5435	21.0210
HV9761-IP20-1280-3K-30M	HV9761-IP20-1280-3K-30M - 15w IP20 24v DC COB 3000K LED Strip 30m Roll	1205.8200	582.1200
HV9761-IP20-1280-4K-30M	HV9761-IP20-1280-4K - 15w IP20 24v DC COB 4000K LED Strip 30m Roll	1205.8200	582.1200
HV9761-IP20-1920-3K	HV9761-IP20-1920-3K - 25w IP20 24v DC 3000K COB LED Strip Per Meter	60.2910	29.1060
HV9761-IP20-1920-4K	HV9761-IP20-1920-4K - 25w IP20 24v DC 4000K COB LED Strip Per Meter	60.2910	29.1060
HV9761-IP20-1920-3K-30M	HV9761-IP20-1920-3K-30M - 25w IP20 24v DC 3000K COB LED Strip 30M Roll	1708.2450	824.6700
HV9761-IP20-1920-4K-30M	HV9761-IP20-1920-4K-30M - 25w IP20 24v DC 4000K COB LED Strip 30M Roll	1708.2450	824.6700
HV9761-IP20-3072-3K	HV9761-IP20-3072-3K - 30w IP20 24v DC COB LED Strip 3000k Per Meter	78.7930	38.0380
HV9761-IP20-3072-4K	HV9761-IP20-3072-4K - 30w IP20 24v DC COB LED Strip 4000k Per Meter	78.7930	38.0380
HV9761-IP20-3072-3K-30M	HV9761-IP20-3072-3K - 30w IP20 24v DC COB LED Strip 3000k 30M Roll	2260.9125	1091.4750
HV9761-IP20-3072-4K-30M	HV9761-IP20-3072-4K - 30w IP20 24v DC COB LED Strip 4000k 30M Roll	2260.9125	1091.4750
